client,server,download_throughput_bps_mean,download_throughput_bps_median,download_throughput_bps_var,download_throughput_bps_std,download_throughput_bps_q90,download_throughput_bps_q99,upload_throughput_bps_mean,upload_throughput_bps_median,upload_throughput_bps_var,upload_throughput_bps_std,upload_throughput_bps_q90,upload_throughput_bps_q99,rtt_download_sec_mean,rtt_download_sec_median,rtt_download_sec_var,rtt_download_sec_std,rtt_download_sec_q90,rtt_download_sec_q99,rtt_upload_sec_mean,rtt_upload_sec_median,rtt_upload_sec_var,rtt_upload_sec_std,rtt_upload_sec_q90,rtt_upload_sec_q99,packet_loss_percent_mean,packet_loss_percent_median,packet_loss_percent_var,packet_loss_percent_std,packet_loss_percent_q90,packet_loss_percent_q99
client05,server06,111788097.32592677,99783376.04572573,2269976451437668.5,47644269.86991897,181996105.55543524,183296276.83822557,127272773.84772806,95659561.45131725,1996201203649912.0,44678867.52873121,191895045.85035983,192201129.40211377,0.12233054545454544,0.118,0.0004809825008311687,0.021931313249123244,0.1229,0.19943091999999993,0.12194704545454545,0.118638,0.00047154723852164547,0.0217151384642522,0.1196369,0.19806882999999992,7.386895535255297,8.054092266960758,38.079555559390506,6.170863437104285,14.261830573476661,15.062830696856667
client05,server07,348857239.76610696,107192062.95810504,1.2529976764757707e+17,353977072.20606405,891800826.3834684,912506678.3017058,408591502.03623235,108619114.73455092,1.3726508751529965e+17,370493033.0185706,899858821.194291,911018569.496817,0.031119621323529405,0.009,0.002489376668154968,0.04989365358595187,0.1153902,0.21914998,0.003519628676470576,0.0033295,7.019718653000901e-07,0.000837837612727007,0.0041178000000000005,0.004294019999999972,5.843707443692836,8.049411137910571,26.550194321435356,5.152688067546429,11.345802396528665,15.023673723748463
client06,server01,835056665.6165057,838186645.2755306,522281721147431.44,22853483.785791423,859363689.8768148,866848161.8421702,732832397.7328289,724911541.741533,1.1985927176934884e+16,109480259.30246459,879274268.5023241,898029819.5488796,0.009398057142857142,0.009,7.742027025210086e-07,0.0008798878920186416,0.01,0.012319999999999992,0.010018857142857126,0.009717,9.842961260504393e-07,0.0009921169921185905,0.0110352,0.013055679999999993,1.3632699997493516,1.3534445208549466,0.08626597247162782,0.2937106951944852,1.6495006862075556,2.06713548824805
client06,server02,810479299.1751689,831987204.9958324,5654361178235599.0,75195486.42196284,855304081.9407847,864359361.8550712,730192942.3068905,729147804.3372006,2.0952090732795028e+16,144748370.39771822,883734416.1911596,897273085.127247,0.009428571428571429,0.009,7.874564459930317e-07,0.0008873874272227614,0.01,0.012179999999999993,0.010196357142857134,0.010072999999999999,7.231421864111475e-07,0.000850377672808469,0.0109442,0.012742719999999994,1.537406928688517,1.376931920771403,0.2831022366771064,0.5320735256307219,1.9585572776621798,3.403564888334514
client06,server03,819531322.8122901,840500257.4881423,8017698565714473.0,89541602.42990111,858311193.1411016,867841482.8369384,729205096.9933053,749000661.3023527,2.883835180820295e+16,169818584.99058032,881105006.0602338,887005742.493144,0.009867260869565216,0.009474,2.0253755304347825e-06,0.0014231568889039544,0.011,0.014542799999999996,0.010258760869565214,0.009957,2.1059720526569643e-06,0.0014511967656582496,0.011498499999999998,0.01486534999999994,1.5146729861983577,1.2841823904111767,1.1961634889917332,1.0936925934611303,1.9311705649841746,5.580260340489907
client06,server04,149223365.60723674,171806153.40358925,1885476543942040.5,43422074.385524705,178876187.32828903,179485227.50712496,179304416.36983156,185738000.8793924,598026023465686.0,24454570.604810994,190668916.39049685,192055737.49783283,0.12427225581395347,0.116225,0.0007130717530044301,0.026703403397402924,0.12273040000000002,0.22140842,0.12448390697674418,0.118,0.0006891700178482837,0.026252047879132854,0.12208259999999999,0.21913782,0.48461445158974575,0.0,1.962931212640483,1.401046470549954,1.8640188494807566,6.056632415751246
client06,server05,160142213.8744345,174961468.0906527,1349316085387756.5,36733038.063679904,179365238.91900042,181071214.2863963,181274375.93776256,186622656.552814,532905298896488.5,23084741.690053377,191094456.04073948,192492767.33922237,0.12309888,0.11619799999999994,0.0006116472832914289,0.024731503862309483,0.120256,0.21996853,0.12316251999999998,0.117123,0.0006306506778873471,0.025112759264711376,0.1198564999999999,0.22229274999999998,0.18480499575025697,0.0,0.4504162829891503,0.6711306005459372,0.06518708809792322,3.1966967405345383
client06,server06,165023266.55709204,176462465.0740855,823547213314581.5,28697512.31926875,180105801.6270012,180863840.44928685,184674643.74611932,189345979.07826844,269616647850090.56,16420007.547199562,191573940.11420178,192479461.35237935,0.1192781111111111,0.11591599999999999,0.0003007269477015868,0.017341480551025246,0.11976,0.1849262499999998,0.11956633333333332,0.115312,0.0002999481340571427,0.017319010770166485,0.12006,0.18600289999999986,0.17109249053966605,0.0,0.5499327034831258,0.741574476019183,0.1029940229138335,3.238469258171571
client06,server07,729559357.1904573,893983678.3142412,8.89697877321077e+16,298278037.62950385,916027287.9710072,925812849.7556468,749490328.961206,769777034.7607566,4356282523715969.0,66002140.29647803,804423571.0681437,818979427.2908819,0.028058814946619208,0.003738,0.0022186238478513467,0.04710227009233575,0.116,0.12319079999999999,0.003221644128113865,0.003126,1.7739463004575663e-07,0.00042118241896565035,0.00381,0.00392539999999992,0.8048740594265934,0.6555068073041093,0.9446551269843042,0.9719337050356388,1.4664327495442604,4.8721526161803705
client07,server01,772491464.377042,831058809.8954563,2.652543317695733e+16,162866304.60889485,878769369.3121053,916804344.0619535,573516941.4308203,557371300.6913524,2.6112249741633696e+16,161592851.76527363,776863083.2850778,819346122.352227,0.013076913793103447,0.013,2.135724922262554e-06,0.00146141196185831,0.014683600000000002,0.01843,0.013411120689655153,0.01305949999999995,1.8966242834240764e-06,0.00137717982973324,0.014192600000000001,0.01871343,1.3772466067246456,0.6626568041122591,6.108285849106033,2.471494658927272,2.2626884191943706,13.284919498281058
